Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,
Venue,SSKC,,,,,,,,,,,,,,,,,,,,,,
Vehicle,143,,,,,,,,,,,,,,,,,,,,,,
Racer,Nicholas Thorne,,,,,,,,,,,,,,,,,,,,,,
Championship,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,
Date,"Sunday, June 19, 2022",,,,,,,,,,,,,,,,,,,,,,
Time,3:42 PM,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,
Duration,951,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,77.2,149.128,211.432,270.088,328.931,387.629,446.908,515.157,574.434,633.224,692.104,750.726,809.236,868.166,932.807,951,,,,,,,
Segment Times,1:17.200,1:11.928,1:02.304,0:58.656,0:58.843,0:58.698,0:59.279,1:08.249,0:59.277,0:58.790,0:58.880,0:58.622,0:58.510,0:58.930,1:04.641,0:18.193,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Logger Temperature,Water Temp,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,Int Batt Voltage,RPM
s,km/h, ,g,g,deg,deg,deg/s,m,m,m/s,m,deg,deg,°C,°C,g,g,g,deg/s,deg/s,deg/s,V,rpm
,,,,,,,,,,,,,,,,,,,,,,,
18.900,35.5384,16,0.1303,-0.0195,-0.2226,-85.6722,7.3621,588.5704,0.0134,0.1300,76.8275,50.51936955,-104.49545209,26.4,27.0,0.04,-0.00,-1.02,4.0,-0.2,5.7,4.0,4190
18.950,35.5092,16,0.1311,-0.0617,-0.2032,-85.2434,7.3998,588.5698,0.0134,0.1300,76.3732,50.51936993,-104.49545911,26.4,27.0,0.01,-0.01,-1.00,3.2,-0.5,5.6,4.0,4124
19.000,35.4776,16,0.1480,-0.0723,-0.1767,-84.6746,8.3800,588.5693,0.0133,0.1300,67.3795,50.51937036,-104.49546609,26.3,26.9,-0.02,-0.00,-0.99,3.1,-0.5,5.7,4.0,4166
19.050,35.4227,16,0.1640,-0.0772,-0.1586,-84.1181,9.3170,588.5686,0.0133,0.1310,60.5094,50.51937080,-104.49547304,26.3,26.8,-0.04,0.00,-0.98,3.5,-0.4,6.0,4.0,4158
19.100,35.2745,16,0.1767,-0.0587,-0.1741,-83.6113,10.0811,588.5673,0.0133,0.1360,55.6897,50.51937131,-104.49547990,26.3,26.7,-0.07,0.02,-0.97,4.3,-0.3,6.5,4.0,4128
19.150,35.1535,16,0.1902,-0.0391,-0.1902,-83.1078,10.8907,588.5652,0.0133,0.1400,51.3726,50.51937183,-104.49548677,26.3,26.6,-0.09,0.03,-0.97,5.0,-0.1,7.1,4.0,4137
19.200,35.1410,16,0.2071,-0.0151,-0.2086,-82.6175,11.8830,588.5609,0.0133,0.1400,47.0660,50.51937237,-104.49549365,26.3,26.6,-0.11,0.05,-0.97,5.6,0.0,7.6,4.0,4126
19.250,35.1656,16,0.2214,0.0084,-0.2219,-82.0863,12.7263,588.5569,0.0133,0.1410,43.9781,50.51937295,-104.49550054,26.3,26.6,-0.12,0.06,-0.97,6.1,0.1,8.0,4.0,4140
19.300,35.3380,16,0.2257,0.0303,-0.2151,-81.3918,12.9732,588.5548,0.0133,0.1460,43.3525,50.51937368,-104.49550747,26.3,26.7,-0.13,0.08,-0.98,6.8,0.1,8.4,4.0,4193
19.350,35.4836,16,0.2339,0.0513,-0.2150,-80.6462,13.4353,588.5513,0.0133,0.1510,42.0339,50.51937444,-104.49551439,26.3,26.8,-0.13,0.10,-0.98,8.4,0.0,9.3,4.0,4232
19.400,35.5215,16,0.2575,0.0685,-0.2417,-79.6959,14.7577,588.5423,0.0133,0.1560,38.3083,50.51937532,-104.49552123,26.3,26.8,-0.12,0.12,-1.00,10.9,-0.0,10.6,4.0,4217
19.450,35.5941,16,0.2801,0.0877,-0.2686,-78.7941,16.0091,588.5336,0.0133,0.1600,35.3859,50.51937622,-104.49552809,26.3,26.9,-0.11,0.13,-1.01,13.7,-0.0,12.2,4.0,4278
19.500,35.8053,16,0.2982,0.1150,-0.2967,-78.0863,16.9767,588.5261,0.0133,0.1600,33.5672,50.51937722,-104.49553497,26.3,27.0,-0.10,0.14,-1.03,16.5,0.0,13.9,4.0,4342
19.550,36.0656,16,0.3173,0.1396,-0.3196,-77.3058,17.9888,588.5180,0.0133,0.1600,31.9088,50.51937825,-104.49554190,26.3,27.0,-0.08,0.15,-1.05,18.0,0.2,15.5,4.0,4339
19.600,36.5222,16,0.3406,0.1534,-0.3214,-76.2349,19.1795,588.5075,0.0133,0.1600,30.3067,50.51937943,-104.49554899,26.3,27.0,-0.06,0.15,-1.07,17.1,0.6,16.0,4.0,4399
19.650,36.9214,16,0.3617,0.1636,-0.3259,-75.1522,20.2343,588.4979,0.0133,0.1590,29.0409,50.51938065,-104.49555606,26.3,27.1,-0.04,0.16,-1.08,14.9,1.1,16.1,4.0,4374
19.700,37.0916,16,0.3737,0.1597,-0.3413,-74.0225,20.7454,588.4921,0.0132,0.1540,28.4560,50.51938206,-104.49556307,26.3,27.2,-0.01,0.17,-1.10,12.5,1.5,16.0,4.0,4466
19.750,37.2573,16,0.3851,0.1542,-0.3481,-72.9211,21.2233,588.4860,0.0132,0.1490,27.9395,50.51938348,-104.49557011,26.3,27.4,0.01,0.18,-1.11,10.5,1.8,15.9,4.0,4501
19.800,37.4052,16,0.3942,0.1426,-0.3212,-71.9324,21.5683,588.4794,0.0132,0.1440,27.6017,50.51938496,-104.49557729,26.3,27.7,0.02,0.19,-1.12,9.1,2.0,16.0,4.0,4473
19.850,37.5749,15,0.4053,0.1305,-0.3001,-70.8764,22.0218,588.4712,0.0132,0.1390,27.1560,50.51938648,-104.49558448,26.3,28.0,0.02,0.21,-1.12,8.5,2.3,16.4,4.0,4518
19.900,37.8325,15,0.4242,0.1168,-0.3020,-69.5509,22.9095,588.4562,0.0132,0.1340,26.2827,50.51938813,-104.49559173,26.3,28.2,0.02,0.22,-1.12,9.4,2.4,17.3,4.0,4564
19.950,38.0457,15,0.4439,0.1002,-0.3121,-68.2992,23.8426,588.4388,0.0132,0.1310,25.3964,50.51938980,-104.49559895,26.3,28.3,0.02,0.24,-1.12,11.6,2.6,18.5,4.0,4547
20.000,38.0814,15,0.4668,0.0720,-0.3547,-67.3428,24.9573,588.4122,0.0131,0.1360,24.2848,50.51939158,-104.49560605,26.3,28.3,0.02,0.25,-1.11,14.3,2.6,20.0,4.0,4564
20.050,38.0999,15,0.4870,0.0455,-0.3854,-66.2363,25.9422,588.3898,0.0131,0.1400,23.3742,50.51939342,-104.49561310,26.3,28.3,0.03,0.26,-1.10,17.1,2.4,21.5,4.0,4603
20.100,38.0499,15,0.4967,0.0259,-0.3683,-64.5298,26.4082,588.3847,0.0131,0.1400,22.9317,50.51939553,-104.49561996,26.3,28.2,0.04,0.27,-1.09,19.0,2.2,22.6,4.0,4604
20.150,38.0393,15,0.5075,0.0092,-0.3571,-62.9046,26.9466,588.3757,0.0131,0.1400,22.4672,50.51939766,-104.49562684,26.3,28.0,0.05,0.28,-1.09,19.6,2.1,23.4,4.0,4572
20.200,38.1862,15,0.5230,0.0032,-0.3697,-61.6051,27.7748,588.3514,0.0131,0.1400,21.8814,50.51939991,-104.49563379,26.3,27.9,0.06,0.30,-1.08,19.2,2.1,23.7,4.0,4568
20.250,38.2423,15,0.5353,-0.0053,-0.3857,-60.2839,28.4314,588.3282,0.0131,0.1400,21.4075,50.51940218,-104.49564064,26.3,27.8,0.07,0.31,-1.08,18.3,2.1,23.8,4.0,4564
20.300,37.9350,15,0.5343,-0.0241,-0.4151,-58.8761,28.4012,588.3098,0.0130,0.1400,21.2580,50.51940457,-104.49564711,26.3,27.7,0.07,0.31,-1.08,16.3,2.0,23.4,4.0,4522
20.350,37.6864,15,0.5289,-0.0397,-0.4411,-57.4642,28.1408,588.2902,0.0130,0.1410,21.3141,50.51940701,-104.49565357,26.3,27.6,0.05,0.32,-1.07,11.4,1.9,21.8,4.0,4490
20.400,37.6728,15,0.5055,-0.0421,-0.4533,-56.0358,26.9595,588.2657,0.0130,0.1460,22.2401,50.51940961,-104.49565997,26.3,27.5,0.02,0.33,-1.07,6.4,2.0,19.9,4.0,4464
20.450,37.6394,15,0.4820,-0.0421,-0.4631,-54.6754,25.7711,588.2413,0.0130,0.1500,23.2450,50.51941220,-104.49566633,26.3,27.4,-0.01,0.33,-1.06,1.8,2.1,17.8,4.0,4486
20.500,37.5268,15,0.4582,-0.0324,-0.4639,-53.5870,24.5546,588.2174,0.0129,0.1500,24.3237,50.51941480,-104.49567251,26.3,27.4,-0.05,0.33,-1.05,-1.8,2.3,15.8,4.0,4443
20.550,37.4317,15,0.4325,-0.0263,-0.4659,-52.5540,23.2341,588.1957,0.0129,0.1510,25.6409,50.51941744,-104.49567866,26.3,27.3,-0.07,0.32,-1.04,-3.6,2.5,14.3,4.0,4424
20.600,37.4066,15,0.3996,-0.0341,-0.4728,-51.7422,21.4978,588.1826,0.0129,0.1560,27.6933,50.51942027,-104.49568468,26.3,27.2,-0.09,0.31,-1.03,-3.5,2.6,13.4,4.0,4452
20.650,37.3980,15,0.3739,-0.0405,-0.4764,-50.8500,20.1561,588.1717,0.0129,0.1610,29.5298,50.51942314,-104.49569065,26.3,27.1,-0.10,0.29,-1.02,-1.5,2.6,13.2,4.0,4462
20.700,37.4551,15,0.3775,-0.0408,-0.4660,-49.6358,20.3928,588.1693,0.0128,0.1660,29.2317,50.51942621,-104.49569650,26.3,27.0,-0.10,0.28,-1.00,1.5,2.4,13.6,4.0,4438
20.750,37.4405,15,0.3839,-0.0409,-0.4545,-48.4323,20.7875,588.1655,0.0128,0.1710,28.6655,50.51942929,-104.49570222,26.3,27.0,-0.09,0.27,-0.99,4.9,2.2,14.4,4.0,4419
20.800,37.1390,15,0.4019,-0.0403,-0.4378,-47.2714,21.8141,588.1561,0.0128,0.1760,27.0965,50.51943243,-104.49570745,26.3,26.9,-0.09,0.26,-0.98,7.9,1.9,15.3,4.0,4438
20.850,36.8733,16,0.4306,-0.0432,-0.4206,-46.1004,23.4246,588.1492,0.0128,0.1810,25.0530,50.51943562,-104.49571262,26.3,26.9,-0.08,0.26,-0.98,10.6,1.8,16.5,4.0,4432
20.900,36.7513,16,0.5019,-0.0602,-0.4006,-44.8897,27.3713,588.1526,0.0128,0.1860,21.3697,50.51943897,-104.49571760,26.3,27.0,-0.09,0.27,-0.98,13.8,1.8,18.1,4.0,4453
20.950,36.6263,16,0.5742,-0.0722,-0.3848,-43.5143,31.4025,588.1548,0.0128,0.1900,18.5630,50.51944237,-104.49572249,26.3,27.0,-0.09,0.28,-0.99,17.4,1.8,20.1,4.0,4460
21.000,36.4896,16,0.6511,-0.0643,-0.3853,-41.4801,35.7723,588.1512,0.0128,0.1900,16.2346,50.51944594,-104.49572704,26.3,27.1,-0.10,0.30,-1.00,21.6,2.0,22.6,4.0,4470
21.050,36.3897,16,0.7246,-0.0566,-0.3877,-39.2916,39.9698,588.1440,0.0128,0.1870,14.4900,50.51944951,-104.49573158,26.3,27.1,-0.10,0.32,-1.01,26.0,2.3,25.4,4.0,4456
21.100,36.4373,16,0.7848,-0.0501,-0.3975,-36.4860,43.4785,588.1219,0.0127,0.1720,13.3380,50.51945308,-104.49573609,26.3,27.1,-0.11,0.34,-1.03,30.7,2.9,29.0,4.0,4472
21.150,36.4314,16,0.8387,-0.0418,-0.4080,-33.7692,46.6437,588.1008,0.0127,0.1570,12.4309,50.51945664,-104.49574052,26.4,27.2,-0.11,0.36,-1.05,33.9,3.6,32.0,4.0,4419
21.200,36.2118,16,0.8675,-0.0264,-0.4212,-31.4074,48.4355,588.0840,0.0126,0.1420,11.8989,50.51946022,-104.49574459,26.4,27.2,-0.11,0.39,-1.07,36.4,4.4,34.7,4.0,4393
21.250,36.0006,16,0.8911,-0.0116,-0.4237,-29.0540,49.9268,588.0696,0.0126,0.1310,11.4761,50.51946383,-104.49574855,26.4,27.2,-0.11,0.41,-1.09,38.0,5.1,36.9,4.0,4433
21.300,35.8228,16,0.8939,0.0006,-0.3831,-26.7339,50.2159,588.0649,0.0125,0.1360,11.3537,50.51946755,-104.49575206,26.4,27.2,-0.10,0.43,-1.10,37.5,5.9,38.1,4.0,4375
21.350,35.6924,16,0.8926,0.0078,-0.3581,-24.3748,50.2632,588.0592,0.0125,0.1400,11.3018,50.51947133,-104.49575545,26.4,27.2,-0.10,0.45,-1.11,34.1,6.7,37.6,4.0,4305
21.400,35.7519,16,0.8751,-0.0055,-0.3953,-21.8597,49.3438,588.0497,0.0124,0.1400,11.5315,50.51947533,-104.49575840,26.4,27.2,-0.10,0.46,-1.12,28.4,7.4,35.9,4.0,4340
21.450,35.7545,16,0.8579,-0.0159,-0.4323,-19.4135,48.4513,588.0423,0.0124,0.1410,11.7448,50.51947932,-104.49576123,26.4,27.2,-0.11,0.47,-1.13,22.1,7.9,33.7,4.0,4329
21.500,35.5297,16,0.8419,-0.0143,-0.4686,-17.2427,47.6668,588.0433,0.0123,0.1460,11.8630,50.51948334,-104.49576357,26.4,27.2,-0.11,0.49,-1.13,17.0,8.0,31.8,4.0,4314
21.550,35.3548,16,0.8316,-0.0090,-0.4835,-15.0543,47.2064,588.0447,0.0123,0.1500,11.9198,50.51948740,-104.49576580,26.4,27.3,-0.11,0.50,-1.13,15.3,7.9,31.2,4.0,4441
21.600,35.3795,16,0.8443,0.0112,-0.4131,-12.7953,48.0426,588.0471,0.0122,0.1500,11.7205,50.51949161,-104.49576755,26.4,27.4,-0.11,0.50,-1.13,15.9,7.8,31.6,4.0,4446
21.650,35.4600,16,0.8579,0.0356,-0.3545,-10.3895,48.9159,588.0479,0.0122,0.1500,11.5374,50.51949583,-104.49576918,26.4,27.5,-0.10,0.50,-1.14,16.5,8.0,32.3,4.0,4458
21.700,35.7642,16,0.8754,0.0766,-0.3436,-7.3961,49.9379,588.0424,0.0121,0.1500,11.3983,50.51950006,-104.49577029,26.4,27.6,-0.07,0.50,-1.16,15.6,8.5,33.0,4.0,4499
21.750,36.0184,16,0.8882,0.1124,-0.3224,-4.4801,50.6511,588.0408,0.0121,0.1490,11.3176,50.51950428,-104.49577128,26.4,27.7,-0.04,0.50,-1.18,13.6,9.1,33.6,4.0,4542
21.800,36.0724,16,0.8821,0.1273,-0.2601,-1.8730,50.1287,588.0551,0.0121,0.1440,11.4527,50.51950843,-104.49577175,26.4,27.7,-0.02,0.52,-1.20,10.6,9.7,34.0,4.0,4504
21.850,36.1465,16,0.8705,0.1422,-0.1946,0.5945,49.2833,588.0667,0.0121,0.1420,11.6731,50.51951263,-104.49577209,26.4,27.7,0.00,0.54,-1.22,7.5,10.3,34.4,4.0,4508
21.900,36.3012,16,0.8369,0.1572,-0.1160,2.5037,47.1459,588.0677,0.0120,0.1520,12.2545,50.51951701,-104.49577193,26.4,27.7,0.02,0.58,-1.23,5.1,10.6,34.6,4.0,4506
21.950,36.5055,16,0.8010,0.1707,-0.0586,4.4666,44.8791,588.0664,0.0120,0.1590,12.9459,50.51952139,-104.49577164,26.4,27.7,0.04,0.60,-1.24,2.2,10.6,34.0,4.0,4431
22.000,36.9082,16,0.7562,0.1785,-0.0861,6.6443,42.0951,588.0563,0.0119,0.1540,13.9544,50.51952581,-104.49577086,26.4,27.7,0.07,0.62,-1.24,-1.4,10.2,32.4,4.0,4464
22.050,37.2582,16,0.7130,0.1792,-0.1115,8.7053,39.4047,588.0452,0.0119,0.1500,15.0485,50.51953023,-104.49577000,26.3,27.7,0.09,0.63,-1.22,-4.6,9.2,29.9,4.0,4476
22.100,37.3972,16,0.6761,0.1515,-0.1277,10.2995,37.0880,588.0295,0.0118,0.1500,16.0481,50.51953464,-104.49576880,26.3,27.7,0.12,0.62,-1.20,-5.5,8.0,27.5,4.0,4520
22.150,37.5427,16,0.6413,0.1270,-0.1269,11.8396,34.9141,588.0202,0.0118,0.1510,17.1137,50.51953907,-104.49576751,26.3,27.7,0.14,0.60,-1.18,-2.9,6.5,25.8,4.0,4579
22.200,37.7144,16,0.6150,0.1155,-0.0574,13.1631,33.3111,588.0361,0.0117,0.1560,18.0193,50.51954356,-104.49576590,26.3,27.7,0.15,0.56,-1.16,2.6,5.1,25.3,4.0,4620
22.250,37.8995,16,0.5933,0.1080,-0.0090,14.6474,31.9672,588.0474,0.0117,0.1600,18.8690,50.51954803,-104.49576417,26.3,27.7,0.16,0.52,-1.15,9.0,4.0,25.6,4.0,4622
22.300,38.1384,16,0.5901,0.1171,-0.0449,16.7750,31.6599,588.0407,0.0117,0.1600,19.1723,50.51955242,-104.49576199,26.3,27.7,0.16,0.48,-1.14,14.1,3.2,26.2,4.0,4609
22.350,38.3470,16,0.5837,0.1229,-0.0784,18.7786,31.1831,588.0354,0.0117,0.1600,19.5719,50.51955677,-104.49575977,26.3,27.6,0.17,0.45,-1.15,17.3,2.8,26.7,4.0,4680
22.400,38.4343,16,0.5649,0.1155,-0.1024,20.2859,30.0286,588.0355,0.0116,0.1600,20.3706,50.51956101,-104.49575738,26.3,27.6,0.16,0.42,-1.15,18.0,2.5,26.8,4.0,4607
22.450,38.5310,16,0.5397,0.1107,-0.1125,21.6618,28.5479,588.0378,0.0116,0.1600,21.4811,50.51956526,-104.49575493,26.3,27.6,0.14,0.41,-1.15,16.4,2.5,26.2,4.0,4681
22.500,38.6656,16,0.4891,0.1164,-0.0673,22.5119,25.7623,588.0486,0.0116,0.1600,23.8869,50.51956952,-104.49575224,26.3,27.6,0.11,0.39,-1.15,12.5,2.5,24.7,4.0,4665
22.550,38.8514,16,0.4388,0.1248,-0.0314,23.3854,23.0048,588.0563,0.0116,0.1600,26.8787,50.51957381,-104.49574945,26.3,27.6,0.10,0.37,-1.14,8.0,2.5,22.6,4.0,4686
22.600,39.2426,16,0.3902,0.1438,-0.0326,24.3529,20.3597,588.0516,0.0115,0.1600,30.6766,50.51957817,-104.49574631,26.3,27.6,0.09,0.35,-1.13,3.2,2.5,19.9,4.0,4696
22.650,39.6050,16,0.3397,0.1551,-0.0334,25.2377,17.6227,588.0488,0.0115,0.1600,35.7683,50.51958254,-104.49574316,26.3,27.6,0.08,0.32,-1.12,-0.7,2.4,17.3,4.0,4752
22.700,39.8521,16,0.2815,0.1354,-0.0325,25.7913,14.5181,588.0541,0.0114,0.1600,43.6881,50.51958694,-104.49573994,26.3,27.7,0.07,0.29,-1.11,-3.2,2.3,14.9,4.0,4792
22.750,40.0870,16,0.2259,0.1169,-0.0314,26.3050,11.5607,588.0567,0.0114,0.1600,55.1875,50.51959132,-104.49573669,26.3,27.7,0.06,0.26,-1.10,-4.5,2.2,13.0,4.0,4742
22.800,40.2729,16,0.1804,0.1031,-0.0295,26.6586,9.1923,588.0488,0.0114,0.1600,69.7286,50.51959565,-104.49573333,26.3,27.8,0.06,0.22,-1.09,-4.1,2.0,11.9,4.0,4859
22.850,40.4276,16,0.1449,0.0916,-0.0269,27.0475,7.3392,588.0455,0.0114,0.1610,87.6698,50.51959999,-104.49572992,26.3,27.9,0.05,0.19,-1.07,-3.0,1.4,11.4,4.0,4819
22.900,40.4576,16,0.1497,0.0887,-0.0216,27.5775,7.5474,588.0606,0.0113,0.1660,85.3140,50.51960442,-104.49572632,26.3,27.9,0.04,0.16,-1.06,-3.3,1.0,10.7,4.0,4757
22.950,40.4621,16,0.1527,0.0839,-0.0019,28.0746,7.6728,588.0776,0.0113,0.1700,83.9300,50.51960883,-104.49572271,26.3,28.0,0.03,0.14,-1.05,-5.4,0.8,9.5,4.0,4795
23.000,40.3652,16,0.1492,0.0709,0.0756,28.4401,7.4664,588.1020,0.0113,0.1700,86.0431,50.51961316,-104.49571905,26.3,28.0,0.02,0.12,-1.05,-8.3,0.8,8.1,4.0,4823
23.050,40.3872,16,0.1428,0.0608,0.1440,28.7235,7.1241,588.1245,0.0113,0.1700,90.2261,50.51961754,-104.49571539,26.3,28.0,-0.00,0.11,-1.05,-10.7,1.0,6.7,4.0,4848
23.100,40.8852,16,0.1254,0.0618,0.1759,28.6791,6.2383,588.1396,0.0112,0.1700,104.3085,50.51962211,-104.49571169,26.3,28.0,-0.02,0.09,-1.06,-12.0,1.6,5.4,4.0,4846
23.150,41.2961,16,0.1091,0.0676,0.1991,28.7812,5.4110,588.1516,0.0112,0.1700,121.4651,50.51962664,-104.49570794,26.3,27.9,-0.04,0.08,-1.06,-12.0,2.4,4.5,4.0,4895
23.200,41.3591,16,0.0973,0.0928,0.1877,29.4696,4.8179,588.1512,0.0112,0.1700,136.6269,50.51963103,-104.49570400,26.4,27.9,-0.05,0.08,-1.06,-11.0,2.8,3.8,4.0,4916
23.250,41.4599,16,0.0830,0.1161,0.1759,30.0255,4.0941,588.1503,0.0112,0.1700,161.1701,50.51963545,-104.49570006,26.4,27.8,-0.05,0.08,-1.05,-8.9,2.7,3.3,4.0,4939
23.300,41.7123,16,0.0579,0.1316,0.1626,30.0515,2.8481,588.1476,0.0111,0.1700,233.0893,50.51964001,-104.49569610,26.4,27.7,-0.04,0.09,-1.02,-5.4,1.9,3.1,4.0,4970
23.350,41.9506,16,0.0334,0.1462,0.1596,29.9915,1.6331,588.1474,0.0111,0.1700,408.8218,50.51964457,-104.49569216,26.4,27.5,-0.02,0.10,-1.01,-2.4,0.9,2.9,4.0,5013
23.400,42.1325,16,0.0110,0.1566,0.1980,29.5879,0.5422,588.1570,0.0111,0.1700,1236.8091,50.51964921,-104.49568827,26.4,27.4,-0.00,0.09,-1.00,-1.1,-0.2,2.2,4.0,5063
23.450,42.3697,16,-0.0088,0.1656,0.2270,29.2946,-0.4225,588.1650,0.0111,0.1700,1596.1472,50.51965385,-104.49568435,26.4,27.3,0.00,0.08,-1.01,-2.0,-0.8,0.7,4.0,5110
23.500,42.8277,16,-0.0185,0.1690,0.2190,29.4423,-0.8818,588.1661,0.0111,0.1700,772.9792,50.51965858,-104.49568029,26.4,27.3,-0.00,0.06,-1.03,-4.4,-0.9,-1.1,4.0,5145
23.550,43.2391,16,-0.0294,0.1728,0.2137,29.5476,-1.3943,588.1672,0.0111,0.1700,493.5784,50.51966330,-104.49567623,26.4,27.3,-0.01,0.04,-1.06,-6.2,-0.6,-2.7,4.0,5158
23.600,43.4644,16,-0.0450,0.1782,0.2196,29.4834,-2.1191,588.1683,0.0110,0.1700,326.4414,50.51966803,-104.49567217,26.4,27.3,-0.02,0.02,-1.08,-6.2,-0.2,-3.4,4.0,5207
23.650,43.7360,16,-0.0603,0.1891,0.2259,29.3933,-2.8258,588.1710,0.0110,0.1700,246.3324,50.51967279,-104.49566809,26.4,27.4,-0.01,0.00,-1.09,-4.7,0.1,-3.3,4.0,5286
23.700,44.1929,16,-0.0744,0.2216,0.2340,29.1997,-3.4599,588.1797,0.0110,0.1700,203.2882,50.51967771,-104.49566393,26.4,27.6,0.00,-0.01,-1.09,-3.0,0.4,-2.8,4.0,5340
23.750,44.6586,16,-0.0819,0.2472,0.2413,29.0106,-3.7851,588.1879,0.0110,0.1700,187.7815,50.51968266,-104.49565977,26.4,27.7,0.01,-0.03,-1.08,-2.1,0.6,-2.5,4.0,5407
23.800,45.1590,16,-0.0627,0.2452,0.2452,28.8391,-2.8745,588.1936,0.0109,0.1700,250.0339,50.51968768,-104.49565558,26.4,27.8,0.03,-0.04,-1.08,-2.0,0.8,-2.5,4.0,5446
23.850,45.6295,16,-0.0509,0.2454,0.2527,28.6537,-2.3040,588.1998,0.0109,0.1710,315.1916,50.51969273,-104.49565141,26.4,27.9,0.03,-0.05,-1.09,-2.5,1.0,-2.7,4.0,5512
23.900,45.9809,16,-0.0691,0.2547,0.2752,28.4127,-3.0938,588.2078,0.0109,0.1760,236.5368,50.51969788,-104.49564732,26.4,27.9,0.04,-0.06,-1.11,-3.2,1.2,-3.2,4.0,5564
23.950,46.3706,16,-0.0881,0.2628,0.2971,28.1869,-3.9074,588.2150,0.0109,0.1790,188.8748,50.51970306,-104.49564319,26.4,27.9,0.05,-0.07,-1.12,-3.6,1.3,-3.5,4.0,5617
24.000,46.9142,16,-0.1097,0.2662,0.3168,28.0216,-4.8161,588.2183,0.0109,0.1740,155.0359,50.51970839,-104.49563888,26.4,27.9,0.05,-0.08,-1.12,-3.6,1.5,-3.8,4.0,5691
24.050,47.4445,16,-0.1260,0.2709,0.3345,27.8369,-5.4868,588.2214,0.0109,0.1700,137.6210,50.51971375,-104.49563459,26.4,27.8,0.07,-0.08,-1.13,-3.3,1.5,-3.9,4.0,5727
24.100,47.9217,16,-0.1207,0.2801,0.3445,27.5747,-5.2060,588.2233,0.0108,0.1700,146.5026,50.51971917,-104.49563038,26.4,27.7,0.08,-0.09,-1.13,-3.0,1.2,-4.0,4.0,5801
24.150,48.4010,16,-0.1175,0.2856,0.3539,27.3022,-5.0140,588.2269,0.0108,0.1690,153.6358,50.51972462,-104.49562618,26.4,27.7,0.07,-0.10,-1.12,-2.8,1.0,-4.0,4.0,5831
24.200,48.8884,16,-0.1227,0.2764,0.3605,26.9882,-5.1768,588.2372,0.0108,0.1640,150.3022,50.51973016,-104.49562200,26.4,27.7,0.09,-0.11,-1.13,-2.5,0.8,-4.0,4.0,5911
24.250,49.3850,16,-0.1261,0.2699,0.3587,26.6883,-5.2701,588.2449,0.0108,0.1610,149.1398,50.51973573,-104.49561781,26.4,27.7,0.12,-0.13,-1.15,-2.1,0.6,-3.9,4.0,5937
24.300,49.9181,16,-0.1229,0.2743,0.3233,26.4452,-5.0856,588.2422,0.0107,0.1660,156.2212,50.51974141,-104.49561362,26.4,27.8,0.15,-0.16,-1.17,-1.9,0.5,-3.8,4.0,6004
24.350,50.4183,16,-0.1169,0.2766,0.2983,26.1985,-4.7910,588.2410,0.0107,0.1700,167.4885,50.51974711,-104.49560944,26.4,27.9,0.12,-0.17,-1.17,-2.0,0.3,-3.8,4.0,6064
24.400,50.7866,16,-0.0998,0.2712,0.3154,25.9376,-4.0563,588.2460,0.0107,0.1700,199.2670,50.51975285,-104.49560525,26.4,28.0,0.04,-0.16,-1.14,-2.5,0.1,-4.0,4.0,6110
24.450,51.1853,16,-0.0829,0.2641,0.3325,25.7338,-3.3325,588.2525,0.0107,0.1700,244.4520,50.51975862,-104.49560106,26.4,28.0,-0.08,-0.13,-1.06,-2.8,-0.1,-4.2,4.0,6157
24.500,51.7056,16,-0.0665,0.2506,0.3494,25.7585,-2.6519,588.2652,0.0107,0.1700,310.3105,50.51976449,-104.49559682,26.4,28.1,-0.21,-0.08,-0.97,-2.5,-0.2,-4.2,4.0,6203
24.550,52.2009,16,-0.0497,0.2403,0.3593,25.7773,-1.9632,588.2775,0.0107,0.1700,423.1882,50.51977036,-104.49559256,26.4,28.1,-0.34,-0.02,-0.86,-1.2,-0.1,-3.7,4.0,6257
24.600,52.5957,16,-0.0316,0.2429,0.3408,25.7728,-1.2419,588.2886,0.0106,0.1700,674.0386,50.51977625,-104.49558819,26.4,28.0,-0.45,0.03,-0.77,0.8,-0.2,-2.7,4.0,6315
24.650,52.9824,16,-0.0147,0.2452,0.3266,25.7758,-0.5742,588.3015,0.0106,0.1690,1468.4369,50.51978216,-104.49558382,26.4,28.0,-0.50,0.08,-0.72,2.9,-0.2,-1.4,4.0,6349
24.700,53.3365,16,-0.0030,0.2466,0.3296,25.8084,-0.1212,588.3210,0.0106,0.1640,7004.5889,50.51978817,-104.49557946,26.4,28.0,-0.46,0.09,-0.73,3.7,-0.1,-0.5,4.0,6414
