13-07-2023,17:12,01,10298,VIHTI KARTING,ALBERT,01,',08,'',63,ALFANO 6,END,1,0, ,no delete partiel,,10,JUNIOR,FREE,13-07-2023,17:12,VIHTI KARTING,ALBERT,NOT USED,NOT USED
lap,time lap,time partiel 1,time partiel 2,time partiel 3,time partiel 4,time partiel 5,time partiel 6,Min RPM,Max RPM,Min Speed GPS,Max Speed GPS,Min T1,Max T1,Min T2,Max T2,Min T3,Max T3,Min T4,Max T4,Min Speed sensor,Max Speed sensor, RPM max gear,Type de champs,Vbattery,max EGT,Hdop
1,68630,68630,0,0,0,0,0,4421,14371,282,993,358,386,2244,6295,0,0,0,0,0,0,14035,1,3976,6255,10
