Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13201,937,386,5443,998,1045,15493,0,60364801,24354165,850
1,13057,921,386,5302,992,1045,15493,0,60364801,24354165,850
1,12875,905,386,5036,993,1044,15530,0,60364780,24354185,850
1,12636,889,386,4772,995,1044,15512,0,60364760,24354203,850
1,12389,872,386,4582,997,1045,15509,0,60364740,24354223,850
1,12212,857,386,4394,996,1046,15479,0,60364720,24354243,850
1,11904,840,386,4258,1000,1048,15477,0,60364700,24354261,850
1,11668,823,386,4137,1001,1047,15460,0,60364680,24354280,850
1,11417,806,386,4027,1003,1048,15444,0,60364661,24354298,850
1,11204,789,386,3912,1003,1051,15461,0,60364643,24354316,850
1,10938,772,386,3821,1005,1050,15460,0,60364625,24354335,850
1,10623,753,386,3734,1007,1049,15443,0,60364608,24354351,850
1,10391,735,386,3640,1007,1047,15468,0,60364590,24354368,850
1,10152,718,386,3563,1005,1048,15471,0,60364573,24354385,850
1,9928,701,386,3488,1009,1044,15519,0,60364556,24354400,850
1,9729,683,386,3425,1015,1041,15517,0,60364540,24354415,860
1,9560,668,386,3351,1022,1038,15517,0,60364525,24354431,860
1,9344,655,386,3281,1031,1037,15588,0,60364508,24354445,860
1,9151,641,386,3204,1035,1030,15596,0,60364493,24354458,860
1,8978,628,386,3144,1038,1030,15629,0,60364480,24354471,860
1,8858,618,386,3092,1040,1027,15687,0,60364465,24354485,860
1,8707,608,386,3038,1035,1028,15822,0,60364450,24354495,850
1,8588,596,386,2992,1034,1030,16060,0,60364435,24354505,860
1,8502,588,386,2948,1035,1035,16252,0,60364420,24354513,860
1,8314,576,385,2897,1035,1037,16380,0,60364406,24354521,860
1,7985,561,385,2849,1032,1028,16524,0,60364391,24354528,860
1,7831,549,386,2801,1034,1022,16735,0,60364378,24354533,860
1,7557,540,386,2750,1034,1019,16892,0,60364365,24354538,860
1,7577,533,386,2705,1033,1017,17098,0,60364351,24354543,860
1,7504,526,386,2660,1036,1013,17265,0,60364338,24354545,860
1,7475,520,386,2613,1036,1005,17463,0,60364325,24354546,860
1,7461,516,385,2580,1034,989,17626,0,60364311,24354546,860
1,7522,516,386,2568,1032,985,17864,0,60364298,24354546,860
1,7648,524,386,2605,1031,996,18108,0,60364285,24354545,860
1,7671,533,386,2707,1026,1011,18266,0,60364273,24354541,860
1,7528,529,386,2856,1027,1024,18556,0,60364260,24354538,860
1,7456,522,386,3032,1029,1022,18742,0,60364246,24354535,860
1,7345,514,386,3129,1030,1030,18898,0,60364233,24354530,860
1,7175,504,386,3166,1030,1032,19075,0,60364221,24354523,860
1,6884,493,385,3107,1029,1034,19214,0,60364208,24354516,860
1,6673,480,386,2990,1027,1031,19350,0,60364196,24354510,860
1,6533,468,385,2861,1025,1033,19584,0,60364185,24354503,860
1,6422,458,385,2741,1025,1033,19844,0,60364175,24354493,860
1,6319,445,386,2662,1023,1034,20081,0,60364165,24354485,860
1,6120,432,386,2602,1022,1033,20263,0,60364153,24354475,860
1,5885,421,385,2548,1021,1031,20411,0,60364143,24354465,860
1,5803,408,385,2507,1018,1031,20621,0,60364135,24354453,860
1,5759,397,385,2469,1015,1028,20887,0,60364125,24354441,860
1,5610,387,385,2434,1017,1031,21186,0,60364116,24354428,860
1,5477,376,385,2408,1017,1036,21330,0,60364108,24354416,860
1,5192,365,385,2383,1019,1040,21501,0,60364101,24354406,860
1,5089,351,385,2358,1023,1040,21695,0,60364093,24354395,860
1,4839,335,385,2343,1024,1029,21879,0,60364086,24354381,860
1,4759,322,385,2330,1029,1020,22048,0,60364081,24354370,860
